cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2020","6/2/2020","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","3310","305","3005","288","408","0","181","","227","2404","1046","270","1088","721","0","167","554","0","554","0","554","20","425","0","554"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2020","6/2/2020","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","1193","326","867","9","17","0","9","","8","737","441","66","230","138","0","0","138","0","138","0","138","0","0","0","138"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2020","6/2/2020","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","461","52","409","-750","48","0","20","","28","259","172","27","60","948","0","0","948","0","948","0","948","0","3600","0","948"
"4122","0","350657","","1st Bank in Hominy","Hominy","OK","74035","3/31/2020","6/2/2020","SM","117 N. Price","","1","0","","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","7/19/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","422","71","351","15","69","0","42","","27","323","177","36","110","82","0","0","82","0","82","0","82","-4","0","0","82"
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2020","6/2/2020","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","2165","103","2062","0","95","0","53","","42","1877","1046","148","683","280","0","65","215","0","215","0","215","0","0","0","215"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2020","6/2/2020","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","4375","146","4229","82","772","0","347","","425","3057","1840","343","874","1862","0","441","1421","0","1421","0","1421","98","2066","0","1421"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2020","6/2/2020","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","","7","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","405","29","376","0","30","0","27","","3","355","179","56","120","51","0","11","40","0","40","0","40","0","0","0","40"
"58485","0","3594797","","1st Capital Bank","Salinas","CA","93901","3/31/2020","6/2/2020","NM","150 Main St, # 150, Salinas,","","6","0","","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","6188","323","5865","825","288","0","94","","194","4495","2824","554","1117","833","0","225","608","0","608","0","608","-12","0","71","608"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2020","6/2/2020","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","5936","1300","4636","1237","823","0","33","","790","4174","2363","227","1584","48","0","15","33","0","33","0","33","2415","0","0","33"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","3/31/2020","6/2/2020","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","640","110","530","3","19","0","17","","2","462","293","53","116","84","1","1","84","0","84","0","84","1","0","0","83.01"
